,Channel_id,Channel_title,Created_date,Video_count,Views_count,Subscription_count,Subscription_count_hidden,Country
0,UCdzU3DSGzyWzN2118yd9X9g,Abdullah AYDIN,2007-08-24T13:54:40Z,39,141690,298,False,NA
1,UC0UnhAG47DRyVZGVcbhAXhQ,Saul TP Channel,2007-02-08T20:41:20Z,105,209322,658,False,MX
2,UCXjtAvK5P3wXBGh0vbGylzg,TheTVtaoista,2009-07-09T22:03:36Z,168,82936,0,True,BR
3,UCeKHMeUlcLNPLCLUfZUQI2w,Tiffany Hendra,2008-05-08T04:06:11Z,269,2421034,23100,False,NA
4,UCNWPDyaWf2eAHnofFLSnEMg,All Gamers,2014-03-14T02:03:00Z,2777,1674536,230,False,NA
5,UCdo4nsIhLYABKSnU9IMBvcw,RhinoCo Technology,2007-02-21T00:01:28Z,109,340060,1500,False,AU
6,UCZNDDbxNipTnfrSH4NpuoOw,TimothyMBoudreaux,2008-04-25T00:48:42Z,22,260259,156,False,NA
7,UCgg5HS1oVuMSoGRPuHo-b_A,Hawlo,2008-10-12T18:37:08Z,2586,28575729,163000,False,PE
8,UCCNZDSGjG6xEoz2lv4FThMQ,Travis Conover,2010-12-13T17:24:41Z,31,106558,37300,False,US
9,UCW0Dk2N7209dicPGgYNcnGg,Hưng Đặng Channel,2012-02-09T10:44:36Z,1,8,86,False,NA
10,UCq-di9ylxEtA-MAcrvwFrEw,dezeroadezfilmes,2008-04-11T23:25:06Z,637,24310022,11000,False,NA
11,UCDUi7yW7tJ7QWJZgK8sRLLQ,AvielNova,2007-12-23T16:33:13Z,605,8262383,5560,False,US
12,UCKMDuwPLGjt-nGHgNPOk5PQ,iMAVERIQ,2012-05-11T03:45:49Z,5807,182574861,508000,False,US
13,UC3pvtaMQ2b74u2dwUjhYMoA,braian7480,2011-10-20T12:48:54Z,1,4407,0,False,NA
14,UCaBmj7srjEN8hpcq2lcYQJA,iworkforbudlight,2008-04-13T07:37:07Z,366,13361265,16600,False,US
15,UCpjYH_3HgCYCBEj5kOZ250A,Mon Cruz Pinto,2013-06-11T15:56:17Z,392,767397,7850,False,MX
