channelid,videocategoryid,channelviewcount,videocount,subscribercount
UCdzU3DSGzyWzN2118yd9X9g,22,14654,30,18
UC0UnhAG47DRyVZGVcbhAXhQ,10,105909,51,184
UCXjtAvK5P3wXBGh0vbGylzg,27,48265,72,338
UCeKHMeUlcLNPLCLUfZUQI2w,26,2116722,172,22051
UCNWPDyaWf2eAHnofFLSnEMg,20,1649075,2777,220
UCdo4nsIhLYABKSnU9IMBvcw,26,211649,53,232
UCZNDDbxNipTnfrSH4NpuoOw,27,209621,22,109
UCgg5HS1oVuMSoGRPuHo-b_A,10,68876547,1159,75629
UCCNZDSGjG6xEoz2lv4FThMQ,20,4009812,813,40482
UCW0Dk2N7209dicPGgYNcnGg,20,45363,2,90
UCq-di9ylxEtA-MAcrvwFrEw,1,19387677,601,6245
UCDUi7yW7tJ7QWJZgK8sRLLQ,20,6449528,1010,4344
UCKMDuwPLGjt-nGHgNPOk5PQ,20,69412632,4213,327143
UC3pvtaMQ2b74u2dwUjhYMoA,24,3578,1,0
UCaBmj7srjEN8hpcq2lcYQJA,2,7062970,314,6514
UCpjYH_3HgCYCBEj5kOZ250A,26,625569,310,7710
UCBFF3y6p-LqzD9bQSDgipgA,24,37895,8,455
UCVjfxCDKw_1bfH9GzhfmuMQ,10,4653729,116,49049
UCIqxsYQqmf-1rP7w18cDAkg,22,23734,8,13
UCqDbufe6xLQvj0ylR1B9FTA,10,709612,6,646
UC7gA_qnevZEg033B3fFfrKg,28,973114,170,2545
UCpJ-kuYqO3-FmecU4hViajw,22,26904,4,55
UC9fwbix0hNiFQ-nhU209UXw,17,45100,12,4
UCuFlctNwFfnzjDC5UzB6fFQ,23,26366733,505,122326
UCQowROOeb9i2uh3TBCKjsEg,24,823999,83,930
UC5rEKljNZfKS14WhkZ9o_oA,20,25296698,876,355544
UCMxVXcnKrXzE9MH61GwjFzg,17,377833,7,27
UC_6j2h3N5jNjx-IVWhIeXhQ,23,3654369,115,14778
UCjZ6Ay7M4-4k8rTiKpRJJUg,1,59304,23,79
UCSfdh8cOnTt4qoyilCKVrgQ,10,534724,80,433
UCfeHOn4Xgf6ZxQQBZ_Jzw_w,17,1200968,118,1314
UCq9E3PxrK42EO-a8-uwmgNA,10,111813332,2302,53079
UCp9CMBa8SvcnldY6CUl7tww,24,270462,695,569
UCz48GslYrQBCAzmSDvXTJXQ,24,235688,75,299
UCtfJaQB08iPTc5GcTwaMqtw,24,19058,1,35
UCcb0muJBVxIUeOsyDr0u7Ig,24,27305,34,51
