,Channel_id,Channel_title,Category_name
0,/youtube/channel/UCq-Fj5jknLsUf-MWSy4_brA, T-Series, Music 
1,/youtube/channel/UCbCmjCuTUZos6Inko4u57UQ, Cocomelon - Nursery Rhymes, Education 
2,/youtube/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw, PewDiePie, Gaming 
3,/youtube/channel/UCpEhnqL0y41EpW2TvWAHD7Q, SET India, Entertainment 
4,/youtube/channel/UCk8GzjMOrta8yxDcKfylJYw, ✿ Kids Diana Show, Film & Animation 
5,/youtube/channel/UCJ5v_MCY6GNUBTO8-D3XoAg, WWE, Sports 
6,/youtube/channel/UCJplp5SjeGSdVdwsfb9Q7lQ, Like Nastya, Entertainment 
7,/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw, 5-Minute Crafts, Howto & Style 
8,/youtube/channel/UCFFbwnve3yF62-tVXkTyHqg, Zee Music Company, Music 
9,/youtube/channel/UCvlE5gTbOvjiolFlEm-c_Ow, Vlad and Niki, Entertainment 
10,/youtube/channel/UCffDXn7ycAzwL2LDlbyWOTw, Canal KondZilla, Music 
11,/youtube/channel/UCIwFjwMjI0y7PDBVEO9-bkQ, Justin Bieber, Music 
12,/youtube/channel/UCOmHUn--16B90oW2L6FRR3A, BLACKPINK, Music 
13,/youtube/channel/UCX6OQ3DkcsbYNE6H8uQQuVA, MrBeast, Entertainment 
14,/youtube/channel/UCppHT7SZKKvar4Oc9J4oljQ, Zee TV, Entertainment 
15,/youtube/channel/UCRijo3ddMTht_IHyNSNXpNQ, Dude Perfect, Sports 
16,/youtube/channel/UC3IZKseVpdzPSBaWxBxundA, HYBE LABELS, Music 
17,/youtube/channel/UCEdvpU2pFRCVqU6yIPyTpMQ, Marshmello, Music 
18,/youtube/channel/UCyoXW-Dse7fURq30EWl_CUA, Goldmines Telefilms, Film & Animation 
19,/youtube/channel/UC3gNmTGu-TTbFPpfSs5kNkg, Movieclips, Film & Animation 
20,/youtube/channel/UCP6uH_XlsxrXwZQ4DlqbqPg, Shemaroo Filmi Gaane, Music 
