,Channel_id,Channel_title,Created_date,Video_count,Views_count,Subscription_count,Subscription_count_hidden,Country
0,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,2006-03-13T14:27:05Z,15276,151555112010,180000000,False,IN
1,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,2006-09-01T22:18:49Z,629,99306304600,109000000,False,US
2,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,2010-04-29T10:54:00Z,4313,27179058415,109000000,False,US
3,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,2006-09-20T22:24:59Z,54896,85211034290,102000000,False,IN
4,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,2015-05-12T08:26:57Z,847,54914440601,77400000,False,US
5,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,2016-12-06T12:15:52Z,569,56582928215,73100000,False,US
6,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,2016-11-15T09:25:37Z,4693,20100936647,72100000,False,US
7,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,2014-03-12T11:59:25Z,5390,36352767781,71700000,False,IN
8,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,2018-04-23T13:58:18Z,348,46960699172,65700000,False,US
9,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,2012-03-21T23:40:47Z,1827,33994318480,64000000,False,BR
10,UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,2007-01-15T21:17:27Z,221,24622613911,62700000,False,CA
11,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,2012-02-20T00:43:50Z,706,10301356996,60300000,False,US
12,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,2016-06-29T03:15:23Z,355,17205676353,60300000,False,KR
13,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,2005-12-11T06:23:26Z,53951,9540959100,57600000,False,IN
14,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,2009-03-17T05:44:36Z,260,12825348543,55900000,False,US
15,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,2008-06-04T08:23:22Z,588,15793323330,53600000,False,KR
16,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,2015-04-06T21:21:50Z,462,11481908878,52400000,False,US
17,UCyoXW-Dse7fURq30EWl_CUA,Goldmines Telefilms,2012-01-21T08:42:21Z,1535,11376392709,52300000,False,IN
18,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,2006-04-28T00:02:37Z,37118,50787721534,51800000,False,US
19,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,2010-06-11T05:33:27Z,6999,24156878179,50900000,False,IN
20,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,2007-08-04T16:05:01Z,34974,51904173238,49300000,False,IN
21,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,2013-02-09T07:51:48Z,405,30893491106,47600000,False,IN
22,UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong! Kids' Songs & Stories,2011-12-14T04:54:24Z,1782,23164349100,46800000,False,US
23,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,2009-08-27T11:54:24Z,129744,14705899431,45500000,False,IN
24,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,2014-10-14T00:15:54Z,7129,17242707003,44400000,False,MX
25,UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,2014-10-29T06:45:10Z,18551,30662457443,43900000,False,IN
26,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,2009-09-02T23:16:22Z,2808,18854176696,43500000,False,IN
27,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,2013-05-19T00:09:13Z,1812,12511985998,43500000,False,CL
28,UCZJ7m7EnCNodqnu5SAtg8eQ,HolaSoyGerman.,2011-09-08T20:25:54Z,136,4510465176,42500000,False,CL
29,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,2014-08-05T20:15:33Z,494,22082681880,42100000,False,US
30,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,2006-05-16T06:56:06Z,2478,12600161527,41800000,False,BR
31,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,2011-05-02T05:32:42Z,539,9129827905,41800000,False,SV
32,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,2007-05-22T10:13:28Z,3020,19777521304,40800000,False,IN
33,UCYvmuw-JtVrTZQ-7Y4kd63Q,Katy Perry,2008-06-01T19:58:36Z,107,21753848745,40400000,False,US
34,UCj0O6W8yDuLg3iraAXKgCrQ,Você Sabia?,2013-09-01T23:31:56Z,1182,6288583317,40100000,False,BR
35,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,2013-02-06T23:21:04Z,34,8908238214,39900000,False,US
36,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,2011-02-13T18:21:00Z,21850,17583399766,39900000,False,IN
37,UCJrOtniJ0-NWz37R30urifQ,Alan Walker,2012-08-25T20:55:38Z,253,9970708441,39100000,False,NO
38,UCbTLwN10NoCU4WDzLf1JMOA,YRF,2006-06-07T23:07:50Z,2861,22244050211,39100000,False,IN
39,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,2008-06-13T11:09:32Z,53200,32176040039,38500000,False,IN
40,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,2006-11-21T04:53:43Z,12935,21542124413,37800000,False,US
41,UCS94J1s6-qc8v7btCdS2pNg,Like Nastya Show,2017-11-14T14:56:43Z,411,16510992903,37500000,False,US
42,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,2011-06-22T13:34:20Z,1454,32807860139,36200000,False,US
43,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,2012-04-15T04:13:36Z,1000,6307498060,36100000,False,MX
44,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,2012-11-22T10:36:15Z,9215,19919321724,35700000,False,IN
45,UClZkHt2kNIgyrTTPnSQV3SA,Get Movies,2006-12-16T19:24:29Z,2960,25623499576,35300000,False,RU
46,UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,2014-07-31T04:07:52Z,1335,15685382013,34500000,False,BR
47,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,2014-06-06T15:24:36Z,401,18085272427,34000000,False,IN
48,UCRv76wLBC73jiP7LX4C3l8Q,Маша и Медведь,2011-05-31T09:32:03Z,940,28145552334,33900000,False,RU
49,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,2014-08-05T05:21:03Z,3469,17638435889,33800000,False,BR
50,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,2008-07-16T02:11:59Z,154227,41207629054,33700000,False,PH
51,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,2011-05-16T22:30:49Z,367,17384268967,33500000,False,US
